Artist,Title,Predicted Title,Semantic Similarity,Title Emotion Score,Predicted Title Emotion Score
Maroon 5,This Love (Kanye West Remix),'She'sINST,0.23940809071063995,0.5851300358772278,-0.257145494222641
Taylor Swift,Closest To A Cowboy,Faux Cowboy,0.7017520666122437,0.39430129528045654,-0.6420173048973083
Coldplay,Violet Hill,A Long and Dark December,0.17219513654708862,0.13535767793655396,0.3957045376300812
Drake,Ratatouille,"???

The",0.19723016023635864,0.0,-0.38672757148742676
Rihanna,It Just Don’t Feel Like Xmas (Without You),Without You Here This Christmas,0.5642766952514648,-0.394043892621994,0.47381535172462463
Selena Gomez,Slow Down (Smash Mode Remix),Party On The Neon,0.23495028913021088,-0.21368855237960815,0.16069437563419342
Ed Sheeran,Wonderwall,Wonderwall by Oasis,0.7763198614120483,0.30637335777282715,0.3580847382545471
Ariana Grande,​right there (live),"Thank U, Next",0.2483610361814499,0.5526819825172424,0.5113041996955872
Beyoncé,All I Could Do Was Cry,Losing At The Al,0.29605165123939514,0.31843551993370056,-0.4253571927547455
Khalid,Cold Blooded,Cold Blood by Paloma,0.5177643299102783,-0.48055100440979004,0.28555336594581604
Beyoncé,At Last,"At Last
Artist",0.6871835589408875,0.1538362056016922,0.2453317493200302
Lady Gaga,White Christmas (Live),Dreaming of A White,0.4194907546043396,0.4984256327152252,0.2789384126663208
Taylor Swift,Tied Together with a Smile,Goodbye with a Sm,0.1932443082332611,0.3998313844203949,0.39657336473464966
Dua Lipa,Chasing The Dragon,Chasing The Dragon,1.0,0.3635731041431427,0.3635731041431427
Drake,God’s Plan (Demo),Wishing Well or En,0.19053904712200165,0.3839050233364105,0.18413330614566803
Billie Eilish,​​party favor,Not Perfect / Stay (,0.08615337312221527,0.4402323365211487,-0.2584480941295624
Katy Perry,Now That It’s Over,"Unknown
Artist",0.029867738485336304,-0.16839516162872314,-0.6311083436012268
Coldplay,Moving to Mars,We Are Meeting For The,0.13872167468070984,0.1521223932504654,0.407759428024292
Coldplay,Death Will Never Conquer,Let Me Go at Sweet,0.07662664353847504,0.34388110041618347,0.41408970952033997
Maroon 5,Let’s Stay Together,Stay With Me Baby by,0.6772642135620117,0.47285762429237366,0.4364025294780731
Dua Lipa,You Boy,"unknown
Artist:",0.19930309057235718,0.2544763684272766,-0.5356836915016174
Katy Perry,Breakout,Escape The School Bell,0.2322429120540619,-0.5473951697349548,-0.3855085074901581
Coldplay,Heroes,Heroes (David B,0.8199630975723267,0.6769275665283203,0.4486338496208191
Ed Sheeran,Candle In The Wind,"""Candle in",0.8292341232299805,0.2773522734642029,0.23379912972450256
Justin Bieber,New One,Brand New One (based,0.7561704516410828,0.5886382460594177,0.5199792385101318
Katy Perry,Funky,"?

(Note",0.1726396083831787,0.36210140585899353,-0.32167381048202515
Katy Perry,Warm Body,"unknown
Artist:",0.2273731380701065,0.190891295671463,-0.5356836915016174
Coldplay,Every Teardrop Is a Waterfall,Anthem of Hope or,0.17176806926727295,0.3973376750946045,0.5865275263786316
Lady Gaga,Million Reasons,A Million Reasons,0.9582920074462891,-0.2824355959892273,0.11953576654195786
Dua Lipa,Six Feet Under,"Undecided
Art",0.23408359289169312,0.32420051097869873,-0.4492638111114502
Lady Gaga,Glamour Zombie,Puzzle of Mis,0.1817602962255478,-0.6772381663322449,-0.5620222091674805
Nicki Minaj,Dopeman,Any Request For More Hit,0.16893596947193146,0.26889437437057495,-0.30451783537864685
Dua Lipa,Be The One (Vaggelis Pap & P. Zaphiropoulos Remix),One Republc -,0.2806965708732605,0.5024635791778564,-0.5843051075935364
Lady Gaga,Lady Gaga takes tea with Mr Fry,Conversing with Lady,0.30425864458084106,0.3482101261615753,0.26922592520713806
Selena Gomez,Flawless,Imperfect To Flaw,0.31977379322052,-0.38469743728637695,-0.46785032749176025
Ariana Grande,Magic*,"""Please Come Back""",0.1543091982603073,0.498498797416687,-0.480253666639328
Maroon 5,Payphone (No Rap Edit),Payphone - Maroon,0.7099868059158325,0.0,0.0
Drake,Still Got it,Pick of the Lyrics,0.26812654733657837,0.2879416346549988,0.3465488851070404
Eminem,So Many Styles,Hype Rap Anthem,0.2050330638885498,0.30720892548561096,0.4170893728733063
Katy Perry,I Go to Sleep,Long Distance Miss You,0.20224618911743164,-0.3149692118167877,0.0
