Artist,Title,Predicted Title,Semantic Similarity,Title Emotion Score,Predicted Title Emotion Score
Maroon 5,This Love (Kanye West Remix),"""Broken Hearts",0.37886735796928406,0.5851300358772278,-0.3988642692565918
Taylor Swift,Closest To A Cowboy,"""A Faux Cow",0.4043482542037964,0.39430129528045654,-0.5880667567253113
Coldplay,Violet Hill,Whispers of a,0.23678094148635864,0.13535767793655396,0.3782828748226166
Drake,Ratatouille,Dolphinian Owl,0.29862847924232483,0.0,0.0
Rihanna,It Just Don’t Feel Like Xmas (Without You),"""Christmas Without You",0.5803923010826111,-0.394043892621994,0.3005284070968628
Selena Gomez,Slow Down (Smash Mode Remix),A Rhythmic Sed,0.24035386741161346,-0.21368855237960815,0.18623454868793488
Ed Sheeran,Wonderwall,"""Wonderwall:",0.9226343631744385,0.30637335777282715,0.2807537317276001
Ariana Grande,​right there (live),Ariana Grande's,0.1633496880531311,0.5526819825172424,0.4420502483844757
Beyoncé,All I Could Do Was Cry,Tears at the Al,0.48865148425102234,0.31843551993370056,-0.3228464126586914
Khalid,Cold Blooded,Cold-Blooded Heart,0.6904293298721313,-0.48055100440979004,-0.30965083837509155
Beyoncé,At Last,"""At Last Our He",0.6577198505401611,0.1538362056016922,0.1451965719461441
Lady Gaga,White Christmas (Live),Dreaming of a Wh,0.23606064915657043,0.4984256327152252,0.2676580548286438
Taylor Swift,Tied Together with a Smile,Tangled Smiles,0.697379469871521,0.3998313844203949,0.14232033491134644
Dua Lipa,Chasing The Dragon,"""Chasing the Dragon",0.939769983291626,0.3635731041431427,0.25791826844215393
Drake,God’s Plan (Demo),Trippie Redd,0.007760820910334587,0.3839050233364105,0.3408931493759155
Billie Eilish,​​party favor,"""Unsent Vinyl",-0.0402982160449028,0.4402323365211487,-0.3894784152507782
Katy Perry,Now That It’s Over,**Unreleased Title,0.2021259069442749,-0.16839516162872314,-0.42470690608024597
Coldplay,Moving to Mars,Stellar Transitions,0.4376903176307678,0.1521223932504654,0.19576072692871094
Coldplay,Death Will Never Conquer,"""Let Me Know if",-0.016432564705610275,0.34388110041618347,0.0
Maroon 5,Let’s Stay Together,"""Stay With You",0.7557367086410522,0.47285762429237366,0.34295645356178284
Dua Lipa,You Boy,Unreleased Song,0.2363193929195404,0.2544763684272766,-0.39294230937957764
Katy Perry,Breakout,Breakout - The Week,0.6937681436538696,-0.5473951697349548,0.467828631401062
Coldplay,Heroes,"""Heroic Mom",0.5668253898620605,0.6769275665283203,0.6509793400764465
Ed Sheeran,Candle In The Wind,"""A Poetic Ref",0.4445641338825226,0.2773522734642029,0.16959400475025177
Justin Bieber,New One,"""New Whip,",0.5592731237411499,0.5886382460594177,0.4883347749710083
Katy Perry,Funky,"""My Envy-",0.22658297419548035,0.36210140585899353,0.40851664543151855
Katy Perry,Warm Body,Unreleased Song,0.1543712019920349,0.190891295671463,-0.39294230937957764
Coldplay,Every Teardrop Is a Waterfall,"""Waterfall of Heart",0.5198232531547546,0.3973376750946045,0.22455722093582153
Lady Gaga,Million Reasons,Million Reasons to,0.9637570381164551,-0.2824355959892273,-0.3087373673915863
Dua Lipa,Six Feet Under,[TO BE CONFI,0.07563585042953491,0.32420051097869873,0.2863563299179077
Lady Gaga,Glamour Zombie,Embracing the Ec,0.16953091323375702,-0.6772381663322449,0.5643721222877502
Nicki Minaj,Dopeman,The Whimsical World,0.18209640681743622,0.26889437437057495,0.4893471598625183
Cardi B,Sauce Niggaz,Unw,0.08437301218509674,-0.27994608879089355,0.21626678109169006
Dua Lipa,Be The One (Vaggelis Pap & P. Zaphiropoulos Remix),I Could Be The One,0.4718238115310669,0.5024635791778564,0.0
Lady Gaga,Lady Gaga takes tea with Mr Fry,Lady Gaga and Stephen,0.560104489326477,0.3482101261615753,0.3435397148132324
Selena Gomez,Flawless,Beneath Infallible,0.17791195213794708,-0.38469743728637695,-0.40102604031562805
Ariana Grande,Magic*,Broken Halos,0.30229389667510986,0.498498797416687,-0.5003610253334045
Maroon 5,Payphone (No Rap Edit),"""At a Payphone",0.6800273656845093,0.0,0.2631358206272125
Drake,Still Got it,Drake x Tyga,0.1262493133544922,0.2879416346549988,0.36239373683929443
Eminem,So Many Styles,Hip Hop Emin,0.23465490341186523,0.30720892548561096,0.13041384518146515
Katy Perry,I Go to Sleep,There You Are Tonight,0.3880263566970825,-0.3149692118167877,0.6432628631591797
